,company,website,location,hourly_rate,employee_size,rating,min_proj_size
0,MobiDev,https://mobidev.biz/services/machine-learning-consulting?utm_source=clutch&utm_medium=listing&utm_campaign=ai,"Norcross, GA",$50 - $99 / hr,250 - 999,5.0,"$10,000+"
1,Deeper Insights,https://deeperinsights.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"London, United Kingdom",$50 - $99 / hr,10 - 49,5.0,"$10,000+"
2,Tooploox,https://www.tooploox.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"Wrocław, Poland",$100 - $149 / hr,50 - 249,4.9,"$25,000+"
3,Diffco,https://diffco.us/page/ai-new/?utm_source=clutch&utm_medium=directory&utm_campaign=ai,"Sunnyvale, CA",$50 - $99 / hr,10 - 49,5.0,"$25,000+"
4,Neoteric,https://neoteric.eu/services/ai-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"Gdańsk, Poland",$50 - $99 / hr,50 - 249,4.9,"$25,000+"
5,Achievion Solutions,https://achievion.com/?utm_source=clutch&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"McLean, VA",$50 - $99 / hr,10 - 49,5.0,"$25,000+"
6,DataRoot Labs,https://datarootlabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"Kyiv, Ukraine",$25 - $49 / hr,10 - 49,5.0,"$10,000+"
7,Toptal,https://www.toptal.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"San Francisco, CA",$100 - $149 / hr,"1,000 - 9,999",4.7,"$50,000+"
8,Azumo,https://azumo.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"San Francisco, CA",$25 - $49 / hr,50 - 249,4.9,"$25,000+"
9,Rootstrap,https://www.rootstrap.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial,"West Hollywood, CA",$100 - $149 / hr,50 - 249,4.8,"$50,000+"
10,Integrio Systems,https://integrio.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"Vancouver, Canada",$25 - $49 / hr,50 - 249,4.9,"$10,000+"
11,InData Labs,https://indatalabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"Nicosia, Cyprus",$50 - $99 / hr,50 - 249,5.0,"$10,000+"
12,ITRex Group,https://itrexgroup.com/services/artificial-intelligence/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"Santa Monica, CA",$50 - $99 / hr,250 - 999,4.9,"$25,000+"
13,nexocode,https://www.nexocode.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"Kraków, Poland",$50 - $99 / hr,10 - 49,4.9,"$25,000+"
14,Zfort Group,https://www.zfort.com/ai-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"Kharkiv, Ukraine",$50 - $99 / hr,250 - 999,5.0,"$10,000+"
15,Exometrics,https://www.exo-metrics.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"London, United Kingdom",$100 - $149 / hr,10 - 49,5.0,"$25,000+"
16,The Dayhuff Group,http://www.dayhuffgroup.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"Worthington, OH",$150 - $199 / hr,50 - 249,4.6,Undisclosed
17,BIX Technology,http://www.bixtecnologia.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"Florianópolis, Brazil",$50 - $99 / hr,10 - 49,4.9,"$5,000+"
18,QBurst,https://www.qburst.com/analytics-services/artificial-intelligence/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"Thiruvananthapuram, India",$25 - $49 / hr,"1,000 - 9,999",4.7,"$5,000+"
19,SynergyLabs,https://synlabs.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence,"Gurugram, India",$25 - $49 / hr,10 - 49,4.7,"$25,000+"
20,Unicsoft,https://unicsoft.com/artificial-intelligence-development-services/?utm_source=clutch_top&utm_medium=referral&utm_campaign=artificial_intelligence,"London, United Kingdom",$50 - $99 / hr,50 - 249,4.9,"$25,000+"
21,Postindustria,https://postindustria.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Los Angeles, CA",$50 - $99 / hr,50 - 249,4.8,"$25,000+"
22,APRO Software,https://apro-software.com/clutch-co/,"Prague, Czech Republic",$25 - $49 / hr,10 - 49,5.0,"$10,000+"
